Author,Item Barcode,Catalog Title,Item Legacy Total Charges,Item Created Date,Black,Asian,Latinx,Indigenous,White,Pacific Islander/Native Hawaiian,Refugee/Immigrant,Gender Roles,LGBTQ+,Family Structure,Adoption/Foster,Homeless,Socio-Economic,Ability Diverse,Neurodiversity,Mental Illness,Health Concerns,Culture/Religion,Judaism,Islam/Muslim,Hinduism,Own Voices
"YA-THOMAS, LEAH",70231568,Because you'll never meet me /,11,4/12/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-THOMAS, LEAH",70001318,When light left us /,4,12/31/2018,,,x,,,,,,,,,,,,,,,,,,,
"YA-THOMAS, SHERRY",57000184,The burning sky /,33,4/17/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-THOMAS, SHERRY",70276431,The magnolia sword : a ballad of Mulan /,12,10/4/2019,,x,,,,,,,,,,,,,,,,,,,,x
"YA-THOMAS, SHERRY #2",57685745,The perilous sea /,18,2/5/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-THOMAS, SHERRY #3",57733495,The immortal heights /,22,10/21/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-THORLEY, ADDIE",70249248,An affair of poisons /,10,3/8/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-THORLEY, ADDIE",70442157,Night Spinner /,5,2/12/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-THORNBURGH, BLAIR",71703805,Ordinary girls /,3,3/31/2020,,,,,x,,,x,,,,,,,,,,,,,,
"YA-THORNE, JENN MARIE",57010407,The wrong side of right /,36,3/11/2015,,,,,x,,,,,,,,,,,,,,,,,
YA-THREE,70136098,Three sides of a heart : stories about love triangles /,10,1/2/2018,x,,,,x,,,x,x,,,,,,,,,,,,,x
"YA-TINTERA, AMY",54006713,Reboot /,44,8/20/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-TINTERA, AMY",54826516,Rebel /,28,6/12/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-TINTERA, AMY",71700512,All these monsters /,1,8/12/2020,,,,,x,,,x,,,,,,,,,,,,,,
"YA-TOLCSER, SARAH",58887522,Song of the current /,13,6/7/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-TOLMAN, STACIA",70283957,The spaces between us /,1,7/30/2019,,,x,,,,x,,,,,,x,,,,,,,,,
"YA-TORO, GUILLERMO DEL",70260393,Pan's labyrinth : the labyrinth of the faun /,9,8/14/2019,,,x,,,,,,,,,,,,,,,,,,,x
"YA-TORRES SANCHEZ, JENNY",58011933,Because of the sun /,7,1/4/2017,,,x,,,,,,,x,,,,,,,,,,,,x
"YA-TORRES SANCHEZ, JENNY",65867038,The fall of innocence /,6,7/12/2018,,,x,,,,,,,,,,,,,,x,,,,,x
"YA-TOTEN, TERESA",56987159,The unlikely hero of room 13 B /,24,4/30/2015,,,,,x,,,,,,,,,,x,x,,,,,,
"YA-TREGAY, SARAH",52376142,Love & leftovers /,36,1/5/2012,,,,,x,,,,x,x,,,,,,,,,,,,
"YA-TREGGIARI, JO",53151155,"Ashes, ashes /",36,6/29/2012,,,,,x,,,,,,,,,,,,,,,,,
"YA-TUCHOLKE, APRIL GENEVIEVE",54007778,Between the devil and the deep blue sea /,18,8/20/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-TUCHOLKE, APRIL GENEVIEVE",57639882,Wink Poppy Midnight /,19,3/29/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-TUCHOLKE, APRIL GENEVIEVE",70197702,The boneless mercies /,10,10/26/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-TUCHOLKE, APRIL GENEVIEVE",70441936,Seven endless forests /,0,5/6/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-TURNER, MEGAN WHALEN",53994406,The queen of Attolia /,32,7/31/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-TURNER, MEGAN WHALEN",65020877,The king of Attolia /,9,7/24/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-TURNER, MEGAN WHALEN #4",49578552,A conspiracy of kings /,56,3/30/2010,,,,,x,,,,,,,,,,,,,,,,,
"YA-TURNER, MEGAN WHALEN #5",57968604,Thick as thieves /,14,5/24/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-TURNER, MEGAN WHELAN #6",71738579,Return of the thief /,0,11/14/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-TYLER, BRIDGET #1",70238258,The pioneer /,1,4/19/2019,,x,,,,,,,,,,,,,,,,,,,,
"YA-TYNDALL, NITA",71738546,Who I was with her /,0,11/14/2020,,,,,x,,,,x,,,,,,,,,,,,,
YA-TYRANNY,57658478,"A tyranny of petticoats : 15 stories of belles, bank robbers & other badass girls /",19,3/11/2016,x,,x,,x,,,x,,,,,,,,,,,,,,x
"YA-UEHASHI, NAHOKO",71706576,The beast player /,4,3/7/2020,,x,,,,,,,,,,,,,,,,x,,,,x
"YA-UMMINGER, ALISON",57600827,American girls /,17,7/1/2016,,,,,x,,,,,,,,,,,,,,,,,
YA-UNBROKEN,70197629,Unbroken : 13 stories starring disabled teens /,2,10/26/2018,x,x,x,,x,,x,,x,,,,,x,x,,,x,,,,x
"YA-VAIL, RACHEL",49044027,Gorgeous /,69,9/2/2009,,,,,x,,,,,,,,,,,,,,,,,
"YA-VALENTINE, JENNY",70481551,Hello now /,0,9/23/2020,,,,,x,,,,x,,,,,,,,,,,,,
"YA-VAN ARSDALE, PETERNELLE",70247986,The cold is in her bones /,3,3/13/2019,,,,,x,,,x,,,,,,,,,,,,,,
"YA-VAN CLEAVE, RYAN G.",50789973,Unlocked /,3,6/18/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-VAN DIEPEN, ALLISON",52420734,Street pharm /,22,10/26/2011,,,,,,,,,,,,,,,,,,,,,,
"YA-VAN DRAANAN, WENDELIN",57679755,Flipped /,36,2/6/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-VANDE VELDE, VIVIAN",57633877,23 minutes /,14,4/8/2016,,,,,,,,,,,,,,,,,,,,,,
"YA-VANDERMEER, JEFF",71700629,A Peculiar Peril,3,8/12/2020,,,,,,,,,,,,,,,,,,,,,,
"YA-VARELA, NINA",70273420,Crier's war /,6,10/4/2019,,,,,x,,,,x,,,,,,,,,,,,,
"YA-VAUGHN, ROEDY",54042403,"OCD, the dude, and me /",27,5/10/2013,,,,,x,,,,,,,,,x,x,x,,,,,,
"YA-VEGA, DANIELLE",70283940,The haunted /,7,7/30/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-VENKATRAMAN, PADMA",54856133,A time to dance /,16,5/6/2014,,x,,,,,,,,,,,,x,,,x,,,,x,x
"YA-VILLASANTE, ALEXANDRA",70283965,The grief keeper /,1,7/30/2019,,,x,,,,x,,x,,,,,,,,,,,,,
YA-VIOLENT,57727059,Violent ends : a novel in seventeen points of view /,19,11/5/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-VIVIAN, SIOBHAN",53165213,The list /,51,5/24/2012,,,,,x,,,,,,,,,,,,,,,,,
"YA-VIVIAN, SIOBHAN",57626269,The last boy and girl in the world /,31,4/25/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-VIVIAN, SIOBHAN",71702468,We are the Wildcats /,3,3/31/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-VIZZINI, NED",53082095,The other normals /,31,10/4/2012,,,,,x,,,,,,,,,,,,,,,,,
"YA-VIZZINI, NED",56978919,It's kind of a funny story /,56,5/26/2015,,,,,x,,,,,,,,,,,x,x,,,,,
"YA-VOLPONI, PAUL",52336211,The Final Four /,37,3/6/2012,,,,,x,,,,,,,,,,,,,,,,,
