Author,Item Barcode,Catalog Title,Item Legacy Total Charges,Item Created Date,Black,Asian,Latinx,Indigenous,White,Pacific Islander/Native Hawaiian,Refugee/Immigrant,Gender Roles,LGBTQ+,Family Structure,Adoption/Foster,Homeless,Socio-Economic,Ability Diverse,Neurodiversity,Mental Illness,Health Concerns,Culture/Religion,Judaism,Islam/Muslim,Hinduism,Own Voices
"YA-DANIELS, APRIL #2",70003116,Sovereign /,5,3/16/2018,,,x,,x,,,x,x,,,,,,,,,,,,,
"YA-DANTICAT, EDWIDGE",56897044,Untwine /,20,10/2/2015,,,x,,,,,,,x,,,,,,,x,,,,,
"YA-DAO, JULIE C.",70462676,Song of the crimson flower /,6,11/8/2019,,x,,,,,,,,,,,,,,,,,,,,x
"YA-DAO, JULIE C. #1",60622354,Forest of a thousand lanterns /,10,11/2/2017,,x,,,,,,,,,,,,,,,,,,,,x
"YA-DAO, JULIE C. #2",70192695,Kingdom of the blazing phoenix /,5,11/13/2018,,x,,,,,,,,,,,,,,,,,,,,x
"YA-DAS, MINTIE",71715973,Brown girl ghosted /,2,5/6/2020,,x,,,,,,,,,,,,,,,,,,,,x
"YA-DASHNER, JAMES",53120283,The kill order /,104,8/15/2012,x,x,x,,x,,,,,,,,,,,,,,,,,
"YA-DASHNER, JAMES",53965562,The eye of minds /,88,10/8/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-DASHNER, JAMES",65073843,The maze runner /,36,12/23/2017,x,x,x,,x,,,,,,,,,,,,,,,,,
"YA-DASHNER, JAMES #2",55958565,The rule of thoughts /,56,9/23/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-DASHNER, JAMES #2",65936585,The scorch trials /,21,12/27/2018,x,x,x,,x,,,,,,,,,,,,,,,,,
"YA-DASHNER, JAMES #3",56904287,The game of lives /,42,12/18/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DASHNER, JAMES #3",65900763,The death cure /,23,11/6/2018,x,x,x,,x,,,,,,,,,,,,,,,,,
"YA-DASHNER, JAMES #5",57938318,The fever code /,45,9/26/2016,x,x,x,,x,,,,,,,,,,,,,,,,,
"YA-DAUBER, J. A.",65968646,Mayhem and madness : chronicles of a teenaged supervillain /,5,9/16/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-DAUD, SOMAIYA",70018999,Mirage /,8,9/7/2018,,x,,,,,,x,,,,,,,,,,,,,,
"YA-DAVIES, JOCELYN",57951568,The odds of lightning /,17,10/17/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DAVIS, CHARLOTTE NICOLE",70275532,The Good Luck Girls /,3,10/4/2019,x,x,x,,x,,,,,,,,,,,,,,,,,x
"YA-DAVIS, DANA L.",70218979,Tiffany Sly lives here now /,8,6/7/2018,x,,,,,,,,,x,,,x,,,,,,,,,x
"YA-DAVIS, DANA L.",70268206,The voice in my head /,5,5/31/2019,x,,x,x,x,,,,,x,,,,,,,,,,,,x
"YA-DAVIS, RONNI",70463021,When the stars lead to you /,5,11/8/2019,x,,,,x,,,,,x,,,x,,,x,,,,,,x
"YA-DAWSON, DELILAH",57002669,Hit /,15,4/10/2015,,,,,x,,,,,,,,x,,,,,,,,,
YA-DAY,60607736,The day Tajon got shot /,5,7/9/2020,x,,,,,,,,,,,,x,,,,,,,,,x
"YA-DAY, ANNA",70225354,The fandom /,4,5/7/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-DAYTON, ARWEN ELYS",70206685,"Stronger, faster, and more beautiful /",10,12/4/2018,x,,,,x,,,,,,,,,,,,,,,,,
"YA-DE LA CRUZ, MELISSA",57954935,Something in between /,24,10/25/2016,,x,,,,x,,,,,,,x,,,,,,,,,x
"YA-DE LA CRUZ, MELISSA",70001292,29 dates /,11,12/28/2018,,,,,,,,,,,,,,,,,,,,,,
"YA-DE LA CRUZ, MELISSA",70444807,The Queen's assassin /,2,2/4/2020,,x,,,,,,,,,,,,,,,,,,,,
"YA-DE LA PENA, MATT",48339212,Mexican whiteboy /,48,10/13/2008,,,x,,x,,,,,,,,,,,,,,,,,x
"YA-DE LA PENA, MATT",70249875,Superman : dawnbreaker /,17,3/8/2019,,,x,,x,,,,,,,,,,,,,,,,,x
"YA-DE LA PENA, MATT #1",54941380,The living /,45,11/8/2013,,,x,,x,,,,,,,,x,,,,,,,,,x
"YA-DE LA PENA, MATT #2",56983943,The hunted /,19,5/7/2015,,,x,,x,,,,,,,,x,,,,,,,,,x
"YA-DE LEON, JENNIFER",70483979,Don't ask me where I'm from /,0,9/2/2020,,,x,,,,,,,,,,x,,,,,,,,,x
"YA-DE QUIDT, JEREMY",65045551,The wrong train /,4,9/21/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-DEAVER, MASON",70466941,I wish you all the best /,5,11/7/2019,,x,x,,x,,,,x,x,,,,,,x,,x,,x,,x
"YA-DEL ROSARIO, JULEAH",70444021,Turtle under ice /,1,2/11/2020,,x,,,,x,,,,x,,,,,,,,,,,,x
"YA-DELLAIRA, AVA",70003819,In search of us /,8,2/27/2018,x,,x,,x,,,,,,,,,,,,,,,,,
"YA-DEMING, SARAH",70463005,Gravity /,3,11/15/2019,x,,x,,x,,,,,,,,,,,,,,x,,,
"YA-DENNARD, SUSAN #1",57689481,Truthwitch /,35,1/20/2016,,x,,,x,,,,x,,,,,,,,,,,,,
"YA-DEONN, TRACY",70482930,Legendborn /,1,9/3/2020,x,,,,,,,,x,,,,,,,,,,,,,x
"YA-DERACINE, ANAT",70191010,Driving by starlight /,5,9/21/2018,,x,,,,,,x,,,,,,,,,,x,,x,,x
"YA-DESSEN, SARAH",55905574,The moon and more /,29,3/10/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESSEN, SARAH",56988728,Just listen /,36,4/21/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESSEN, SARAH",56984321,Saint Anything /,41,5/7/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESSEN, SARAH",57689457,That summer /,26,1/22/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESSEN, SARAH",57616963,Lock and key /,32,5/12/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESSEN, SARAH",57615965,Dreamland /,13,5/17/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESSEN, SARAH",57616138,What happened to goodbye /,28,5/17/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESSEN, SARAH",57612640,This lullaby /,20,5/18/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESSEN, SARAH",57634560,Keeping the moon /,18,5/27/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESSEN, SARAH",58887696,Once and for all /,25,6/7/2017,,,,,x,,,,x,,,,,,,,,,,,,
"YA-DESSEN, SARAH",70266481,The rest of the story /,6,6/4/2019,,x,,,x,,,,,x,,,x,,,,,,,,,
"YA-DESTEFANO, LAUREN",57640575,Broken crowns /,13,3/31/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESTEFANO, LAUREN #1",54940820,Perfect ruin /,22,11/12/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-DESTEFANO, LAUREN #2",55906598,Burning kingdoms /,11,3/5/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DEUKER, CARL",54943931,Swagger /,43,10/31/2013,,,,,x,,,,,x,,,,,,,,,,,,
"YA-DEUKER, CARL",71719470,Golden arm /,2,4/18/2020,,,,,x,,,,,x,,,x,,,,,,,,,
"YA-DEVLIN, CALLA",57938250,Tell me something real /,11,9/27/2016,,,,,x,,,,,,,,,,,,x,,,,,
"YA-DEVOS, KELLY",70481627,Day zero /,1,9/23/2020,,,x,,x,,,,,,,,,,,,,,,,,
"YA-DEWOSKIN, RACHEL",70246392,Someday we will fly /,4,3/20/2019,,x,,,x,,,,,,,,,,,,,x,x,,,
"YA-DIAZ, NATASHA",70257761,Color me in /,11,8/27/2019,x,,x,,x,,,,,,,,,,,x,,x,x,,,x
"YA-DIMALINE, CHERIE",70136577,The marrow thieves /,22,12/20/2017,,,,x,,,,,,,,,,,,,,,,,,
"YA-DIMOPOULOS, ELAINE",56984362,Material girls /,22,5/7/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DINAN, KURT",60636115,Don't get caught /,17,11/6/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-DOCKTER, DEBRA",56977929,Deadly design /,17,6/3/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DOCTOROW, CORY",65891251,Pirate cinema /,2,10/10/2018,x,,,,x,,,,,,,,,,,,,,,,,
"YA-DOCTOROW, CORY #1",56944242,Little brother /,36,7/27/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DOCTOROW, CORY #2",54071915,Homeland /,26,3/27/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-DOLLER, TRISH",56978125,The devil you know /,10,6/2/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DOLLER, TRISH",65968992,Start here /,7,9/16/2019,x,,,,x,,,,,,,,,,,,,,,,,
"YA-DOMINY, AMY FELLNER",57942807,Die for you /,12,11/17/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DONALDSON, JENNIFER",70220066,Lies you never told me : a novel /,9,5/29/2018,,x,x,,x,,,,,,,,,x,,,,,,,,
"YA-DONALDSON, JENNIFER",70466974,I know you remember /,4,11/4/2019,x,,,x,x,,,,,,,,,,,,,,,,,
"YA-DONNELLY, JENNIFER",53151668,A northern light /,53,6/29/2012,,,,,x,,,,,,,,,,,,,,,,,
"YA-DONNELLY, JENNIFER",57724254,These shallow graves /,28,12/18/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DONNELLY, JENNIFER",70269972,Stepsister /,12,5/22/2019,x,,,,x,,,x,,,,,,,,,,,,,,
"YA-DONNELLY, JENNIFER",71738587,Poisoned /,0,11/14/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-DOOLEY, SARAH",58987959,Ashes to Asheville /,18,4/5/2017,,,,,x,,,,x,,,,,,,,,,,,,
"YA-DOWELL, FRANCES O'ROARK",50814482,Ten miles past normal /,50,3/23/2011,,,,,x,,,,,,,,,,,,,,,,,
"YA-DOWNHAM, JENNY",57669236,Unbecoming /,33,2/29/2016,,,,,x,,,,x,,,,,,,x,,,,,,
"YA-DOWNHAM, JENNY",57674483,Before I die /,12,5/31/2016,,,,,x,,,,,,,,,,,,x,,,,,
"YA-DOWNHAM, JENNY",70453303,Furious thing /,2,1/6/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-DRAKE, JULIA",70275540,The last true poets of the sea /,0,10/4/2019,,x,,,x,,,,x,,,,,,,,,,,,,
"YA-DRAPER, SHARON M.",46722104,Fire from the rock /,43,7/30/2007,x,,,,,,,,,,,,,,,,,,,,,x
"YA-DRIZA, DEBRA #1",57628315,Mila 2.0 /,23,4/19/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DRIZA, DEBRA #2",54828843,Renegade /,14,5/29/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-DUCIE, JOE",57739310,The Rig /,32,10/6/2015,x,,,,x,,,,,,,,,,,,,,,,,
"YA-DUNCAN, EMILY A. #1",70238266,Wicked saints /,7,4/19/2019,,x,,,x,,,,,,,,,,,,,,,,,
"YA-DUNCAN, LOIS",50899426,Killing Mr. Griffin /,55,10/14/2010,,,,,x,,,,,,,,,,,,,,,,,
"YA-DUNCAN, LOIS",57634735,The third eye /,11,5/27/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DUNCAN, LOIS",57634933,Don't look behind you /,19,5/27/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-DUNCAN, LOIS",65974081,I know what you did last summer /,2,9/25/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-DURANGO, JULIA",56952583,The leveller /,23,7/2/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-DUYVIS, CORINNE",57627481,On the edge of gone /,20,4/20/2016,x,,,,x,,,,,,,,,x,,,,,,,,
"YA-EARL, RAE",70206594,My life uploaded /,5,12/4/2018,,x,,,x,,,,,,,,,,,,,,,,,
"YA-EASTON, T. S.",57008401,Boys don't knit : (in public) /,30,3/19/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-EASTON, T. S.",70152988,Girls can't hit /,11,8/8/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-EASTON, TOM",56977820,Seven second delay /,11,6/2/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-EGAN, CATHERINE #1",57600231,Julia vanishes /,30,7/1/2016,,x,,,,,,,,,,,,,,,,,,,,
"YA-EGAN, CATHERINE #2",65039034,Julia defiant /,8,8/28/2017,,x,,,,,,,,,,,,,,,,,,,,
"YA-ELLEN, TOM",57619363,A totally awkward love story /,40,5/5/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ELLEN, TOM",70017520,Freshmen /,10,9/7/2018,,x,,,x,,,,,,,,,,,,,,,,,
"YA-ELLIOTT, DAVID",57916249,Bull /,12,4/6/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-ELLIOTT, DAVID",70241732,Voices : the final hours of Joan of Arc /,6,4/9/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-ELLIOTT, JOSEPH #1",70446851,The good hawk /,3,1/31/2020,,,,,x,,,,,,,,,x,,,,,,,,
"YA-ELLIOTT, L. M.",56972995,Under a war-torn sky /,19,6/24/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-ELLIOTT, L. M.",70005046,Hamilton and Peggy! : a revolutionary friendship /,23,2/20/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-ELLIOTT, REBECCA",70472519,Pretty Funny for a Girl,0,10/26/2020,x,,,,x,,,,,,,,,,,,,,,,,
"YA-ELSTON, ASHLEY",57967135,This is our story /,23,12/27/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ELSTON, ASHLEY",70192638,The lying woods /,7,11/13/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-ELSTON, ASHLEY",67173948,10 blind dates /,1,3/26/2020,,,,,x,,,,x,,,,,,,,,,,,,
"YA-EMERSON, KEVIN",55911002,Breakout /,12,2/23/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-EMEZI, AKWAEKE",65972523,Pet /,5,9/26/2019,,,,,,,,,,,,,,,,,,,,,,
"YA-EMEZI, AKWAEKE",65974065,Pet /,7,10/18/2019,x,,,,,,,,x,,,,,,,x,,,,,,x
"YA-EMMICH, VAL",70200472,Dear Evan Hansen : the novel /,18,10/9/2018,x,,x,,x,,,,x,,,,,,,x,,,,,,
"YA-ENGLAND, M. K.",70204946,The disasters /,13,12/31/2018,x,x,x,,x,,,,x,,,,,,,x,,,,,,
"YA-ENGLE, MARGARITA",70225362,Jazz owls : a novel of the Zoot Suit Riots /,2,5/7/2018,,,x,,,,,,,,,,,,,,,,,,,x
"YA-ERNSHAW, SHEA",70003132,The wicked deep /,14,3/16/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-ESHBAUGH, JULIE",57967531,Ivory and bone /,25,6/22/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-ESHBAUGH, JULIE #2",65005399,Obsidian and stars /,12,6/15/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-EULBERG, ELIZABETH",54849716,Better off friends /,35,3/26/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-EULBERG, ELIZABETH",54851589,We can work it out /,25,1/28/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-EULBERG, ELIZABETH",70285911,Past perfect life /,4,7/15/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-EVANS, RICHARD PAUL",53970893,Battle of the Ampere /,63,9/26/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-EVANS, RICHARD PAUL",55949705,Hunt for Jade Dragon /,56,9/17/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-EVANS, RICHARD PAUL",56950272,The prisoner of cell 25 /,33,3/7/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-EVANS, RICHARD PAUL #5",57732117,Storm of lightning /,37,10/30/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-EVANS, RICHARD PAUL #6",57931818,Fall of Hades /,21,11/17/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-EVANSLEY, ALEX",70191499,"Love scene, take two /",11,6/29/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-EVES, ROSALYN",58986803,Blood rose rebellion /,14,4/10/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-FAIZAL, HAFSAH",70268172,We hunt the flame /,11,5/31/2019,,x,,,x,,,,,,,,,,,,,,,,,
"YA-FALKNER, BRIAN",52390242,The project /,31,12/28/2011,,,,,x,,,,,,,,,,,,,,,,,
"YA-FALKNER, BRIAN",57625600,Brain Jack /,19,4/28/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FALKOFF, MICHELLE",57954927,Pushing perfect /,28,10/25/2016,,x,,,x,,,,,,,,,,,x,,,,,,
"YA-FAMA, ELIZABETH",54857669,Plus one /,22,4/17/2014,,x,,,x,,,,,,,,,,,,,,,,,x
"YA-FANTASKEY, BETH",54832571,Buzz kill /,31,5/7/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-FARISH, TERRY",53082574,The good braider /,17,10/4/2012,x,,,,,,,,,,,,,,,,,,,,,
"YA-FARIZAN, SARA",54006010,If you could be mine /,22,8/20/2013,,x,,,,,,,x,,,,,,,,,x,,x,,x
"YA-FARIZAN, SARA",55973002,Tell me again how a crush should feel /,14,10/16/2014,,x,,,,,,,x,,,,,,,,,x,,x,,x
"YA-FARIZAN, SARA",70015920,Here to stay /,9,9/18/2018,x,x,,,,,,,,,,,,,,,,x,,x,,x
"YA-FARUQI, SONIA",70197777,The oyster thief /,9,10/26/2018,,x,,,x,,,,,,,,,,,,,,,,,x
"YA-FEINSTEIN, JOHN",54941398,Foul trouble /,35,11/8/2013,x,,,,x,,,,,,,,,,,,,,,,,
"YA-FIEDLER, LISA",70283866,We walked the sky /,4,7/30/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-FINE, SARAH #1",65073504,The impostor queen /,17,3/14/2018,,,,,x,,,,x,,,,,,,,,,,,,
"YA-FINE, SARAH #2",70003124,The cursed queen /,8,3/13/2018,,,,,x,,,,x,,,,,,,,,,,,,
"YA-FINE, SARAH #3",70003074,The true queen /,4,3/13/2018,,,,,x,,,,x,,,,,,,,,,,,,
"YA-FINLAY, ADRIANNE",70008149,Your one & only /,2,2/6/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-FINLAY, ADRIANNE",70487137,Cut off /,1,8/31/2020,,,x,,x,,,,x,,,,,,,,,,,,,
"YA-FIRESTONE, CARRIE",57673428,The loose ends list /,20,6/9/2016,,,,,x,,,,,,,,,,,,x,,,,,
"YA-FIRKINS, JACQUELINE",70456421,"Hearts, strings, and other breakable things /",4,12/12/2019,x,,,,x,,,,,,,,,,,,,,,,,
"YA-FISCHER, NANCY RICHARDSON",70275524,The speed of falling objects /,6,10/4/2019,x,x,,,x,,,,,,,,,x,,,,,,,,
"YA-FISHER, CATHERINE #1",57612657,Incarceron /,23,5/18/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FISHER, CATHERINE #2",50860972,Sapphique /,69,12/22/2010,,,,,x,,,,,,,,,,,,,,,,,
"YA-FITZGERALD, F. SCOTT",57920993,The great Gatsby /,35,8/29/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FITZPATRICK, HUNTLEY",54861257,What I thought was true /,36,4/14/2014,,,,,x,,,,,,,,x,,,,,,,,,
"YA-FLACK, SOPHIE",57649501,Bunheads /,16,5/24/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #1",56010887,The ruins of Gorlan /,62,4/9/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #1",56983349,The outcasts /,53,5/14/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #1",57741381,Tournament at Gorlan /,58,10/7/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #1",70213095,The ruins of Gorlan /,13,8/8/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #10",65950776,The emperor of Nihon-Ja /,14,2/13/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #11",57667016,The lost stories /,47,2/23/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #12",65007437,Royal ranger /,26,7/7/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #2",55973507,The burning bridge /,57,10/13/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #2",56932510,The invaders /,64,8/10/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #2",57649477,The burning bridge /,41,5/24/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #2",70017769,The Red Fox Clan /,25,9/7/2018,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #3",57626699,The icebound land /,41,4/21/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #3",70268982,Duel at Araluen /,13,5/31/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #4",56009418,Slaves of Socorro /,75,7/23/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #4",57626673,The battle for Skandia /,42,4/21/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #5",55931802,Scorpion Mountain /,59,12/1/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #6",57626707,The siege of Macindaw /,40,4/21/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #6",70140942,The ghostfaces /,33,11/29/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #7",70140959,The caldera /,30,11/29/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN #8",56985955,The kings of Clonmel /,55,4/30/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLANAGAN, JOHN A. #2",57972275,The battle of Hackham Heath /,40,12/2/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLINN, ALEX",54016068,Towering /,35,6/19/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLINN, ALEX",71700645,"Love, Jacaranda",0,8/13/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLINN, ALEX #1",57741050,Beastly /,14,5/9/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLINN, ALEX #2",57622946,Bewitching /,8,4/29/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLINN, ALEX #3",56902463,Mirrored /,20,10/28/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLINN, ALEX #4",58001561,Beheld /,21,2/9/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-FLOREEN, TIM",57951659,Tattoo atlas /,16,10/17/2016,,x,,,x,,,,x,,,,,,,,,,,,,
"YA-FLORES-SCOTT, PATRICK",70013610,American road trip /,7,9/28/2018,,,x,,,x,,,,,,,x,,,,,,,,,
"YA-FLYNN, L. E.",70483961,All eyes on her /,2,8/31/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-FOLEY, JESSIE ANN",60622313,Neighborhood girls /,10,11/2/2017,x,,x,,x,,,,,,,,,,,,,,,,,
"YA-FOLEY, JESSIE ANN",70266572,Sorry for your loss /,7,6/4/2019,,,,,x,,,,x,,,,,,,,,,,,,
"YA-FOLEY, JESSIE ANN",70472006,You Know I'm No Good,0,10/20/2020,x,,,x,x,,,,x,,,,,,,,,,,,,
"YA-FOMBELLE, TIMOTHEE DE",56926918,A prince without a kingdom /,30,8/19/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-FOREST, KRISTINA",70483268,Now That I've Found You,0,9/3/2020,x,,,,,,,,,,,,,,,,,,,,,
"YA-FORMAN, GAYLE",56012347,If I stay /,51,7/14/2014,,,,,x,,,,,,,,,,,,,,,,,
"YA-FORMAN, GAYLE",55960538,I was here /,43,1/22/2015,,,,,x,,,,,,,,,,,x,,,,,,
"YA-FORMAN, GAYLE",57622722,Just one day /,17,4/29/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FORMAN, GAYLE",70142005,I have lost my way /,12,4/10/2018,x,x,,,x,,,,x,,,,,,,,x,,x,,,
"YA-FORMAN, GAYLE",70213004,If I stay /,13,8/8/2018,,,,,,,,,,,,,,,,,,,,,,
"YA-FORMAN, GAYLE #2",57622920,Where she went /,25,4/29/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FORREST, BELLA #1",60609021,Harley Merlin and the secret coven /,3,3/31/2020,,,,,x,,,,,,,,,,,,,,,,,
"YA-FOSTER, AMY S. #1",58986308,The rift : uprising /,11,2/25/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-FOWLEY-DOYLE, MOIRA",56927106,The accident season /,36,8/19/2015,,,,,x,,,,,,,,,,,,,,,,,
"YA-FOWLEY-DOYLE, MOIRA",65018236,Spellbook of the Lost and Found /,18,8/9/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-FOWLEY-DOYLE, MOIRA",65968976,All the bad apples /,9,9/16/2019,x,,,,x,,,,x,,,,,,,x,,,,,,
"YA-FOX, HELENA",70263355,How it feels to float /,7,6/14/2019,,x,,,x,,,,x,,,,,,,x,,,,,,
"YA-FRANK, E. R.",56978596,Dime /,15,5/26/2015,,,,,x,,,,,x,x,,x,,,,,,,,,
"YA-FRENCH, GILLIAN",65005415,Grit /,12,6/15/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-FRENCH, GILLIAN",60622362,The door to January /,6,11/6/2017,,,,,x,,,,,,,,,,,,,,,,,
"YA-FRENCH, GILLIAN",70225297,The lies they tell /,10,5/7/2018,,x,,,x,,,,,,,,,,,,,,,,,
"YA-FRENCH, GILLIAN",70268883,The missing season /,8,5/31/2019,,,,,x,,,,,,,,,,,,,,,,,
"YA-FRICK, KIT",70017470,See all the stars /,2,9/7/2018,x,,,,x,,,,,,,,,,,,,,,,,
"YA-FRICK, KIT",70283932,All eyes on us /,1,7/30/2019,,,,,x,,,,x,,,,,,,,,,,,,
"YA-FRICK, KIT",70438593,I killed Zoe Spanos /,1,7/13/2020,x,,x,,x,,,,,,,,,,,,,,,,,
"YA-FRIEDMAN, AIMEE",57625972,Two summers /,27,4/25/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FRIEND, NATASHA",58984436,The other F-word /,18,3/22/2017,,,,,x,,,,x,x,x,,,,,,,,,,,
"YA-FRIEND, NATASHA",70191283,How we roll /,8,6/29/2018,,,,,x,,,,,,,,,x,,,x,,,,,
"YA-FRIESEN, JONATHAN",55916316,Both of me /,21,1/7/2015,,,,,x,,,,,,,,,,,x,,,,,,
"YA-FUNKE, CORNELIA #2",54069547,Fearless /,26,4/3/2013,,,,,x,,,,,,,,,,,,,,,,,
"YA-FUNKE, CORNELIA #3",57627648,Reckless : the golden yarn /,12,4/20/2016,,,,,x,,,,,,,,,,,,,,,,,
"YA-FURNISS, CLARE",57968307,How not to disappear /,14,5/24/2017,x,,,,x,,,,,,,,,,,,,,,,,
"YA-GAILEY, SARAH",70481619,When we were magic /,0,9/23/2020,x,x,x,,x,,,,x,,,,,,,,,,,,,
"YA-GAIMAN, NEIL",57742769,The sleeper and the spindle /,29,10/21/2015,,,,,x,,,,,,,,,,,,,,,,,
